,rouge-1,rouge-2,rouge-l
r,0.4321549657879528,0.1974781789068156,0.4189705784330872
p,0.28416657237726306,0.1241752198543975,0.2758353357457633
f,0.3251517326424698,0.14390570534086816,0.3156595950140134
