,rouge-1,rouge-2,rouge-l
r,0.8730638948627599,0.6360622899991301,0.8522924272595395
p,0.7402003060542662,0.5574834367861259,0.7233036661575155
f,0.7864452303161884,0.5802822892214057,0.7680565874869103
